Job Title,Company,Experience Required,Location,Rating,Salary
Data Analyst,Development Alternatives,2-7 Yrs,New Delhi,2.7,Not disclosed
Data Analyst,,2-5 Yrs,New Delhi,,Not disclosed
Data Analyst,Environmental Resources Management (ERM),2-4 Yrs,New Delhi,3.3,Not disclosed
Data Analyst,,2-3 Yrs,Noida,,Not disclosed
Data Analyst,Renoirce Technologies,7-12 Yrs,Remote,5.0,16-25 Lacs PA
Data Analyst,United Airlines,2-6 Yrs,Hybrid - Gurugram,4.1,Not disclosed
Data Analyst,Thinksys Software,5-10 Yrs,Remote,3.8,18-30 Lacs PA
Data Analyst,Omuni,2-6 Yrs,Gurugram,3.1,Not disclosed
Data Analyst,Advatix Apac Logistics,3-6 Yrs,"Gurugram, Jaipur",3.2,Not disclosed
Data Analyst,,3-8 Yrs,New Delhi,,Not disclosed
Data Analyst,EDF International Networks,10-12 Yrs,New Delhi,4.2,Not disclosed
Data Analyst,Nexg Iot Solutions,5-9 Yrs,Noida,3.9,Not disclosed
Data Analyst,Shubhashray Housing India,1-3 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,,1-3 Yrs,New Delhi,,Not disclosed
Data Analyst,Techplus Media,2-3 Yrs,New Delhi,3.2,Not disclosed
Data Analyst,Mindpeers,1-3 Yrs,New Delhi,2.1,Not disclosed
Data Analyst,Nits Solutions,1-3 Yrs,Gurugram,3.1,Not disclosed
Data Analyst,Align Technology,1-4 Yrs,New Delhi,2.9,Not disclosed
DATA ANALYST For ESG & BRSR,,2-3 Yrs,Gurugram,,Not disclosed
DATA ANALYST,Meradoc,1-3 Yrs,New Delhi,3.7,Not disclosed
Data Analyst,Eminenture,1-4 Yrs,New Delhi,3.5,Not disclosed
Data Analyst,Aryavart Institute Of Technology,1-3 Yrs,"Noida, Patna, Kanpur, Supaul",2.0,Not disclosed
Data analyst,Purpos Planet,1-5 Yrs,New Delhi,3.8,Not disclosed
Data Analyst,,1-4 Yrs,Gurugram,,Not disclosed
Data Analyst,Patio Digital,3-6 Yrs,Faridabad,3.9,Not disclosed
Data Analyst,,1-3 Yrs,Gurgaon,,Not disclosed
Data Analyst,Akhil Systems,3-5 Yrs,Gurugram,3.6,Not disclosed
Data Analyst,Impressico Business Solutions,3-5 Yrs,Noida,4.5,Not disclosed
Data Analyst,,2-5 Yrs,Gurgaon,,Not disclosed
Data Analyst,Infyni,3-4 Yrs,Gurugram,3.9,Not disclosed
Data Analyst,Bonzer Business Solutions(BBS),3-5 Yrs,Gurugram,4.5,Not disclosed
Data Analyst,Structural Solutions (SSPL),2-7 Yrs,"New Delhi, Mumbai",3.7,Not disclosed
Data Analyst,,0-2 Yrs,"Srinagar, Kota, Tirupati, Kollam, Salem, Gurugram, Nellore, Belgaum, Thiruvananthapuram",,2.5-3.5 Lacs PA
Data Analyst,,0-2 Yrs,"Kochi, Noida, Saharanpur, Ghaziabad, Jabalpur, Pune, Aligarh, Nizamabad, Vadodara",,2.5-3.5 Lacs PA
Data Analyst,,0-2 Yrs,"Bhopal, Hyderabad, Lucknow, Agra, Faridabad, Rajkot, Amritsar, Jaipur, Mumbai (All Areas)",,2.5-3.5 Lacs PA
Data Analyst,,1-2 Yrs,Noida,,Not disclosed
Data Analyst,Shiprocket,2-6 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,Diverse Lynx,1-5 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,CODERS BRAIN,1-6 Yrs,Gurugram,3.2,Not disclosed
Data Analyst,DecisionTree Analytics and Services Private Limited,1-3 Yrs,Gurgaon,3.8,Not disclosed
Data Analyst,Azmarq,2-4 Yrs,Noida,5.0,Not disclosed
Data Analyst,Diverse Lynx,3-6 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,ANR Software,2-5 Yrs,Noida,4.5,Not disclosed
Data Analyst,,3-6 Yrs,Gurugram,,6-7 Lacs PA
Data Analyst,Stem,3-5 Yrs,Gurugram,3.1,Not disclosed
Data Analyst,,2-4 Yrs,Noida,,Not disclosed
Data Analyst,,2-5 Yrs,New Delhi,,Not disclosed
Data Analyst,Ethics Express,3-8 Yrs,Gurugram,4.1,Not disclosed
Data Analyst,T&N Business Services,2-5 Yrs,Gurugram,4.7,Not disclosed
Data Analyst,,10-20 Yrs,New Delhi,,Not disclosed
Data Analyst,Intuitive Apps,6-11 Yrs,Gurugram,4.0,Not disclosed
Data Analyst,,3-8 Yrs,New Delhi,,Not disclosed
Data Analyst,Boston Consulting Group,0-2 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,,0-1 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,,,Noida,,Unpaid
Data Analyst,,,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Unpaid
Data Analyst,Luminar Technologies,0-4 Yrs,New Delhi,2.5,Not disclosed
Data Analyst,Ixigo,1-4 Yrs,Gurugram,3.5,Not disclosed
Data Analyst,Miss Highness,1-3 Yrs,"Ghaziabad(Kaushambi), Kaushambi",2.7,2-3 Lacs PA
Data Analyst,Boston Consulting Group,2-6 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,Fedex Express Transportation And Supply Chain Serv Ices (i),4-7 Yrs,"Hybrid - Delhi / NCR, Bengaluru",4.0,Not disclosed
Data Analyst,,4-9 Yrs,"Delhi / NCR, Pune, Bengaluru",,7-14 Lacs PA
