Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Align Technology,1-4 Yrs,New Delhi,2.9,Not Disclosed,1.0,4.0,,
DATA ANALYST For ESG & BRSR,Confidential,2-3 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,3.0,,
DATA ANALYST,Meradoc,1-3 Yrs,New Delhi,3.7,Not Disclosed,1.0,3.0,,
Data Analyst,Eminenture,1-4 Yrs,New Delhi,3.5,Not Disclosed,1.0,4.0,,
Data Analyst,Aryavart Institute Of Technology,1-3 Yrs,New Delhi,2.0,Not Disclosed,1.0,3.0,,
Data analyst,Purpos Planet,1-5 Yrs,New Delhi,3.8,Not Disclosed,1.0,5.0,,
Data Analyst,Confidential,1-4 Yrs,New Delhi,Not Rated,Not Disclosed,1.0,4.0,,
Data Analyst,Patio Digital,3-6 Yrs,,3.9,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,1-3 Yrs,New Delhi,Not Rated,Not Disclosed,1.0,3.0,,
Data Analyst,Akhil Systems,3-5 Yrs,New Delhi,3.6,Not Disclosed,3.0,5.0,,
Data Analyst,Impressico Business Solutions,3-5 Yrs,New Delhi,4.5,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,5.0,,
Data Analyst,Infyni,3-4 Yrs,New Delhi,3.9,Not Disclosed,3.0,4.0,,
Data Analyst,Bonzer Business Solutions(BBS),3-5 Yrs,New Delhi,4.5,Not Disclosed,3.0,5.0,,
Data Analyst,Structural Solutions (SSPL),2-7 Yrs,New Delhi,3.7,Not Disclosed,2.0,7.0,,
Data Analyst,Confidential,0-2 Yrs,New Delhi,Not Rated,Disclosed,0.0,2.0,2.5,3.5
Data Analyst,Confidential,0-2 Yrs,"New Delhi, Pune",Not Rated,Disclosed,0.0,2.0,2.5,3.5
Data Analyst,Confidential,0-2 Yrs,,Not Rated,Disclosed,0.0,2.0,2.5,3.5
Data Analyst,Confidential,1-2 Yrs,New Delhi,Not Rated,Not Disclosed,1.0,2.0,,
